source,source_iso3,recipient,recipient_iso3,year,category,value_usd
Australia,AUS,Argentina,ARG,2019,Ignore,33442
Australia,AUS,Argentina,ARG,2020,Ignore,1286
Australia,AUS,Argentina,ARG,2020,Power Plant,16377
Australia,AUS,Armenia,ARM,2019,Ignore,132544
Australia,AUS,Austria,AUT,2017,Ignore,86187
Australia,AUS,Austria,AUT,2018,Ignore,54045
Australia,AUS,Austria,AUT,2019,Ignore,36444
Australia,AUS,Austria,AUT,2020,Ignore,46703
Australia,AUS,Austria,AUT,2021,Ignore,119344
Australia,AUS,Austria,AUT,2021,Power Plant,41
Australia,AUS,Azerbaijan,AZE,2017,Enrichment,66556
Australia,AUS,Azerbaijan,AZE,2018,Enrichment,65921
Australia,AUS,Azerbaijan,AZE,2020,Ignore,138250
Australia,AUS,Bahrain,BHR,2017,Fuel fabrication,97616
Australia,AUS,Bangladesh,BGD,2020,Enrichment,69005
Australia,AUS,Belarus,BLR,2019,Ignore,1000
Australia,AUS,Belarus,BLR,2020,Ignore,3100
Australia,AUS,Belgium,BEL,2018,Ignore,2258
Australia,AUS,Belgium,BEL,2019,Ignore,1545
Australia,AUS,Belgium,BEL,2020,Fuel fabrication,5965
Australia,AUS,Belgium,BEL,2020,Ignore,1585
Australia,AUS,Belgium,BEL,2021,Fuel fabrication,20881
Australia,AUS,Benin,BEN,2021,Ignore,60531
Australia,AUS,Botswana,BWA,2020,Ignore,1468
Australia,AUS,Brazil,BRA,2017,Ignore,6732
Australia,AUS,Brazil,BRA,2017,Power Plant,44878
Australia,AUS,Brazil,BRA,2019,Ignore,123395
Australia,AUS,Brazil,BRA,2021,Ignore,127619
Australia,AUS,Brunei Darussalam,BRN,2017,Ignore,4834
Australia,AUS,Brunei Darussalam,BRN,2018,Ignore,18926
Australia,AUS,Brunei Darussalam,BRN,2019,Ignore,23511
Australia,AUS,Brunei Darussalam,BRN,2020,Ignore,2195
Australia,AUS,Burkina Faso,BFA,2021,Ignore,7167
Australia,AUS,Canada,CAN,2017,Enrichment,49875
Australia,AUS,Canada,CAN,2017,Ignore,182048
Australia,AUS,Canada,CAN,2017,Mining,77439245
Australia,AUS,Canada,CAN,2017,Power Plant,10328404
Australia,AUS,Canada,CAN,2018,Enrichment,103473
Australia,AUS,Canada,CAN,2018,Fuel fabrication,28099
Australia,AUS,Canada,CAN,2018,Ignore,409196
Australia,AUS,Canada,CAN,2018,Mining,100769612
Australia,AUS,Canada,CAN,2018,Power Plant,10670294
Australia,AUS,Canada,CAN,2019,Enrichment,34712
Australia,AUS,Canada,CAN,2019,Fuel fabrication,40641
Australia,AUS,Canada,CAN,2019,Ignore,344287
Australia,AUS,Canada,CAN,2019,Mining,366830542
Australia,AUS,Canada,CAN,2019,Power Plant,10056584
Australia,AUS,Canada,CAN,2020,Enrichment,15649
Australia,AUS,Canada,CAN,2020,Fuel fabrication,11862
Australia,AUS,Canada,CAN,2020,Ignore,261104
Australia,AUS,Canada,CAN,2020,Mining,387328346
Australia,AUS,Canada,CAN,2020,Power Plant,11032982
Australia,AUS,Canada,CAN,2021,Fuel fabrication,14770
Australia,AUS,Canada,CAN,2021,Ignore,449191
Australia,AUS,Canada,CAN,2021,Mining,297633524
Australia,AUS,Canada,CAN,2021,Power Plant,8809447
Australia,AUS,Chile,CHL,2017,Fuel fabrication,2595
Australia,AUS,Chile,CHL,2018,Fuel fabrication,4547
Australia,AUS,Chile,CHL,2018,Ignore,122148
Australia,AUS,Chile,CHL,2019,Enrichment,22988
Australia,AUS,Chile,CHL,2019,Fuel fabrication,28545
Australia,AUS,Chile,CHL,2019,Ignore,155680
Australia,AUS,Chile,CHL,2020,Ignore,17867
Australia,AUS,Chile,CHL,2021,Fuel fabrication,7128
Australia,AUS,Chile,CHL,2021,Ignore,50000
Australia,AUS,China,CHN,2017,Enrichment,21181
Australia,AUS,China,CHN,2017,Ignore,3002542
Australia,AUS,China,CHN,2017,Mining,71293719
Australia,AUS,China,CHN,2017,Power Plant,45100099
Australia,AUS,China,CHN,2018,Enrichment,9140
Australia,AUS,China,CHN,2018,Ignore,1521463
Australia,AUS,China,CHN,2018,Mining,23178167
Australia,AUS,China,CHN,2018,Power Plant,215961115
Australia,AUS,China,CHN,2019,Enrichment,126127
Australia,AUS,China,CHN,2019,Ignore,806322
Australia,AUS,China,CHN,2019,Power Plant,291024931
Australia,AUS,China,CHN,2020,Ignore,183369
Australia,AUS,China,CHN,2020,Mining,149770
Australia,AUS,China,CHN,2020,Power Plant,205728751
Australia,AUS,China,CHN,2021,Ignore,963538
Australia,AUS,China,CHN,2021,Power Plant,445402275
Australia,AUS,Colombia,COL,2017,Ignore,87467
Australia,AUS,Cote d'Ivoire,CIV,2020,Enrichment,56
Australia,AUS,Czech Rep.,CZE,2017,Ignore,11747
Australia,AUS,Czech Rep.,CZE,2018,Ignore,9336
Australia,AUS,Czech Rep.,CZE,2021,Ignore,8821
Australia,AUS,Dem. Rep. of the Congo,COD,2017,Ignore,57296
Australia,AUS,Dem. Rep. of the Congo,COD,2018,Ignore,18645
Australia,AUS,Dem. Rep. of the Congo,COD,2019,Ignore,17948
Australia,AUS,Denmark,DNK,2018,Ignore,45143
Australia,AUS,Denmark,DNK,2019,Ignore,42588
Australia,AUS,Denmark,DNK,2021,Fuel fabrication,195
Australia,AUS,Denmark,DNK,2021,Ignore,142207
Australia,AUS,Dominican Rep.,DOM,2017,Ignore,125476
Australia,AUS,Dominican Rep.,DOM,2019,Ignore,130003
Australia,AUS,Ecuador,ECU,2019,Ignore,41228
Australia,AUS,El Salvador,SLV,2017,Ignore,39501
Australia,AUS,El Salvador,SLV,2020,Fuel fabrication,5758
Australia,AUS,Ethiopia,ETH,2019,Fuel fabrication,1683
Australia,AUS,Fiji,FJI,2017,Fuel fabrication,96
Australia,AUS,Fiji,FJI,2019,Ignore,2780
Australia,AUS,Fiji,FJI,2020,Enrichment,9488
Australia,AUS,Fiji,FJI,2021,Ignore,2221
Australia,AUS,Finland,FIN,2017,Ignore,127817
Australia,AUS,Finland,FIN,2018,Ignore,186191
Australia,AUS,Finland,FIN,2019,Ignore,143147
Australia,AUS,Finland,FIN,2019,Power Plant,15449
Australia,AUS,Finland,FIN,2020,Ignore,137461
Australia,AUS,Finland,FIN,2021,Ignore,121328
Australia,AUS,France,FRA,2017,Ignore,74
Australia,AUS,France,FRA,2017,Mining,59195160
Australia,AUS,France,FRA,2017,Power Plant,5811492
Australia,AUS,France,FRA,2018,Mining,1540977
Australia,AUS,France,FRA,2018,Power Plant,849763
Australia,AUS,France,FRA,2018,Spent Fuel / HLW,1505743
Australia,AUS,France,FRA,2019,Fuel fabrication,2548
Australia,AUS,France,FRA,2019,Ignore,79
Australia,AUS,France,FRA,2019,Mining,7768277
Australia,AUS,France,FRA,2019,Power Plant,1056005
Australia,AUS,France,FRA,2020,Enrichment,1086969
Australia,AUS,France,FRA,2020,Mining,13919033
Australia,AUS,France,FRA,2021,Ignore,97
Australia,AUS,France,FRA,2021,Mining,90892799
Australia,AUS,France,FRA,2021,Power Plant,3799
Australia,AUS,Gabon,GAB,2021,Ignore,47465
Australia,AUS,Germany,DEU,2017,Fuel fabrication,539878
Australia,AUS,Germany,DEU,2017,Ignore,26003
Australia,AUS,Germany,DEU,2017,Mining,472
Australia,AUS,Germany,DEU,2017,Power Plant,704284
Australia,AUS,Germany,DEU,2018,Fuel fabrication,557157
Australia,AUS,Germany,DEU,2018,Ignore,84786
Australia,AUS,Germany,DEU,2019,Fuel fabrication,206855
Australia,AUS,Germany,DEU,2019,Ignore,31573
Australia,AUS,Germany,DEU,2019,Power Plant,38462
Australia,AUS,Germany,DEU,2020,Enrichment,104759
Australia,AUS,Germany,DEU,2020,Fuel fabrication,49609
Australia,AUS,Germany,DEU,2020,Ignore,231593
Australia,AUS,Germany,DEU,2021,Fuel fabrication,467337
Australia,AUS,Germany,DEU,2021,Ignore,543098
Australia,AUS,Germany,DEU,2021,Power Plant,52788
Australia,AUS,Ghana,GHA,2018,Enrichment,60
Australia,AUS,Ghana,GHA,2018,Ignore,1731
Australia,AUS,Ghana,GHA,2018,Power Plant,1786
Australia,AUS,Ghana,GHA,2020,Ignore,42649
Australia,AUS,Greece,GRC,2019,Ignore,14553
Australia,AUS,Hong Kong,HKG,2017,Ignore,491729
Australia,AUS,Hong Kong,HKG,2018,Ignore,188243
Australia,AUS,Hong Kong,HKG,2019,Ignore,42656
Australia,AUS,Hong Kong,HKG,2019,Power Plant,15021
Australia,AUS,Hong Kong,HKG,2020,Enrichment,9316
Australia,AUS,Hong Kong,HKG,2020,Ignore,3098
Australia,AUS,Hungary,HUN,2017,Ignore,2761
Australia,AUS,Hungary,HUN,2018,Ignore,433
Australia,AUS,Hungary,HUN,2019,Ignore,100
Australia,AUS,Hungary,HUN,2020,Power Plant,14244
Australia,AUS,Hungary,HUN,2021,Ignore,100
Australia,AUS,India,IND,2017,Enrichment,22293
Australia,AUS,India,IND,2017,Fuel fabrication,29485
Australia,AUS,India,IND,2017,Ignore,211546
Australia,AUS,India,IND,2018,Enrichment,43627
Australia,AUS,India,IND,2018,Ignore,639952
Australia,AUS,India,IND,2019,Enrichment,34170
Australia,AUS,India,IND,2019,Ignore,294086
Australia,AUS,India,IND,2020,Enrichment,312084
Australia,AUS,India,IND,2020,Ignore,433536
Australia,AUS,India,IND,2021,Enrichment,421844
Australia,AUS,India,IND,2021,Ignore,672245
Australia,AUS,Indonesia,IDN,2017,Enrichment,2929
Australia,AUS,Indonesia,IDN,2017,Ignore,62673
Australia,AUS,Indonesia,IDN,2018,Ignore,218782
Australia,AUS,Indonesia,IDN,2019,Enrichment,47239
Australia,AUS,Indonesia,IDN,2019,Fuel fabrication,1933
Australia,AUS,Indonesia,IDN,2019,Ignore,62492
Australia,AUS,Indonesia,IDN,2020,Ignore,78345
Australia,AUS,Indonesia,IDN,2020,Power Plant,1393
Australia,AUS,Indonesia,IDN,2021,Fuel fabrication,2148
Australia,AUS,Indonesia,IDN,2021,Ignore,178034
Australia,AUS,Indonesia,IDN,2021,Power Plant,984
Australia,AUS,Iran,IRN,2017,Ignore,60920
Australia,AUS,Iran,IRN,2018,Ignore,108492
Australia,AUS,Iraq,IRQ,2017,Ignore,156167
Australia,AUS,Iraq,IRQ,2018,Ignore,178470
Australia,AUS,Iraq,IRQ,2019,Ignore,67525
Australia,AUS,Iraq,IRQ,2020,Ignore,454785
Australia,AUS,Iraq,IRQ,2021,Ignore,77429
Australia,AUS,Ireland,IRL,2017,Fuel fabrication,83
Australia,AUS,Ireland,IRL,2017,Ignore,111368
Australia,AUS,Ireland,IRL,2018,Fuel fabrication,258
Australia,AUS,Ireland,IRL,2018,Ignore,123330
Australia,AUS,Ireland,IRL,2019,Ignore,123951
Australia,AUS,Ireland,IRL,2021,Ignore,715
Australia,AUS,Ireland,IRL,2021,Power Plant,81089
Australia,AUS,Israel,ISR,2017,Ignore,15020
Australia,AUS,Israel,ISR,2018,Ignore,29000
Australia,AUS,Israel,ISR,2018,Power Plant,76000
Australia,AUS,Israel,ISR,2019,Ignore,41454
Australia,AUS,Israel,ISR,2019,Power Plant,503000
Australia,AUS,Israel,ISR,2021,Ignore,1000
Australia,AUS,Italy,ITA,2018,Enrichment,272807
Australia,AUS,Italy,ITA,2019,Ignore,3151
Australia,AUS,Jamaica,JAM,2021,Ignore,57333
Australia,AUS,Japan,JPN,2017,Enrichment,18084
Australia,AUS,Japan,JPN,2017,Ignore,5652208
Australia,AUS,Japan,JPN,2017,Power Plant,221599
Australia,AUS,Japan,JPN,2018,Enrichment,16838
Australia,AUS,Japan,JPN,2018,Ignore,5400512
Australia,AUS,Japan,JPN,2018,Power Plant,416297
Australia,AUS,Japan,JPN,2019,Enrichment,7287
Australia,AUS,Japan,JPN,2019,Ignore,2025015
Australia,AUS,Japan,JPN,2019,Power Plant,393072
Australia,AUS,Japan,JPN,2020,Ignore,82062
Australia,AUS,Japan,JPN,2020,Power Plant,135488
Australia,AUS,Japan,JPN,2021,Enrichment,20109
Australia,AUS,Japan,JPN,2021,Ignore,227581
Australia,AUS,Japan,JPN,2021,Power Plant,407464
Australia,AUS,Jordan,JOR,2017,Ignore,64590
Australia,AUS,Kazakhstan,KAZ,2018,Ignore,14580
Australia,AUS,Kazakhstan,KAZ,2019,Ignore,13199
Australia,AUS,Kazakhstan,KAZ,2020,Ignore,10614
Australia,AUS,Kenya,KEN,2017,Ignore,19311
Australia,AUS,Kenya,KEN,2020,Ignore,14539
Australia,AUS,Kiribati,KIR,2018,Power Plant,1518
Australia,AUS,Kiribati,KIR,2020,Fuel fabrication,259
Australia,AUS,Lao People's Dem. Rep.,LAO,2017,Enrichment,11947
Australia,AUS,Lao People's Dem. Rep.,LAO,2017,Fuel fabrication,11451
Australia,AUS,Lao People's Dem. Rep.,LAO,2018,Ignore,10537
Australia,AUS,Lao People's Dem. Rep.,LAO,2019,Ignore,4673
Australia,AUS,Lao People's Dem. Rep.,LAO,2020,Ignore,98335
Australia,AUS,Lao People's Dem. Rep.,LAO,2021,Ignore,49276
Australia,AUS,Latvia,LVA,2017,Power Plant,1261
Australia,AUS,Lithuania,LTU,2017,Ignore,72804
Australia,AUS,Madagascar,MDG,2017,Fuel fabrication,120
Australia,AUS,Madagascar,MDG,2017,Ignore,151453
Australia,AUS,Madagascar,MDG,2018,Ignore,5891
Australia,AUS,Malaysia,MYS,2017,Fuel fabrication,908
Australia,AUS,Malaysia,MYS,2017,Ignore,62695
Australia,AUS,Malaysia,MYS,2017,Mining,79952
Australia,AUS,Malaysia,MYS,2017,Power Plant,519434
Australia,AUS,Malaysia,MYS,2018,Fuel fabrication,2274
Australia,AUS,Malaysia,MYS,2018,Ignore,58454
Australia,AUS,Malaysia,MYS,2018,Mining,137302
Australia,AUS,Malaysia,MYS,2018,Power Plant,98045
Australia,AUS,Malaysia,MYS,2019,Ignore,54931
Australia,AUS,Malaysia,MYS,2019,Mining,59291
Australia,AUS,Malaysia,MYS,2019,Power Plant,140957
Australia,AUS,Malaysia,MYS,2020,Fuel fabrication,31879
Australia,AUS,Malaysia,MYS,2020,Ignore,275392
Australia,AUS,Malaysia,MYS,2020,Mining,8853
Australia,AUS,Malaysia,MYS,2020,Power Plant,223336
Australia,AUS,Malaysia,MYS,2021,Fuel fabrication,3305
Australia,AUS,Malaysia,MYS,2021,Ignore,65867
Australia,AUS,Malaysia,MYS,2021,Mining,52704
