iso3_countrycode,country,lat,lon,year,amount_totalcap.mw_nonrenewable,amount_totalcap.mw_nuclear,amount_totalcap.mw_renewable,amount_totalgen.gwh_nonrenewable,amount_totalgen.gwh_nuclear,amount_totalgen.gwh_renewable,prop_totalcap.mw_nonrenewable,prop_totalcap.mw_nuclear,prop_totalcap.mw_renewable,prop_totalgen.gwh_nonrenewable,prop_totalgen.gwh_nuclear,prop_totalgen.gwh_renewable
CHN,China,36.6289776038481,103.88464108467298,2022,1302876.0499999998,55530,1206588.95,0,0,0,0.5079448692882441,0.021649165008118924,0.47040596570363685,NA,NA,NA
HKG,"China, Hong Kong Special Administrative Region",22.30723,114.17431,2022,10583,0,244.46,0,0,0,0.9774222209086897,0,0.02257777909131043,NA,NA,NA
TWN,Chinese Taipei,23.75050934328311,120.9724223373682,2022,42638.1,2887,16414.68,0,0,0,0.6883799070645714,0.04660978776482577,0.2650103051706028,NA,NA,NA
COL,Colombia,3.9073100720986633,-73.07692660799412,2022,6097.25,0,13469.23,0,0,0,0.31161711253122687,0,0.6883828874687731,NA,NA,NA
COM,Comoros (the),-11.661874301277027,43.354333358991624,2022,21.6,0,5.45,0,0,0,0.7985212569316081,0,0.20147874306839186,NA,NA,NA
COG,Congo (the),-0.8431651054285298,15.22732248467246,2022,596.66,0,226.66,0,0,0,0.7246999951416218,0,0.2753000048583783,NA,NA,NA
COK,Cook Islands (the),-21.23816,-159.77843,2022,18.35,0,5.57,30.34,0,7.18,0.7671404682274248,0,0.23285953177257523,0.8086353944562901,0,0.19136460554371004
CRI,Costa Rica,9.972513945453906,-84.19608472213136,2022,380.96,0,3138.53,92.12,0,12619.41,0.10824295565550689,0,0.8917570443444931,0.007246963976799016,0,0.992753036023201
HRV,Croatia,45.13943490979017,16.424761953805373,2022,1368.8,0,3593.1,0,0,0,0.27586206896551724,0,0.7241379310344828,NA,NA,NA
CUB,Cuba,21.6076332217976,-78.9502103021164,2022,5620.360000000001,0,1307.55,137.05,0,35.66,0.8112634257662124,0,0.18873657423378765,0.793526721093162,0,0.20647327890683803
CUW,Curacao,12.15451,-68.91759,2022,204.2,0,59.72,0,0,0.01,0.7737193088814793,0,0.22628069111852078,0,0,1
CYP,Cyprus,35.05741461253355,33.2242299829311,2022,1497.5,0,601.65,0,0,0,0.7133839887573541,0,0.2866160112426458,NA,NA,NA
CZE,Czechia,49.73906713564359,15.331866105351573,2022,10948.95,4290,6105.76,0,0,0,0.5129584801105286,0.20098656763198003,0.28605495225749145,NA,NA,NA
CIV,C�te d'Ivoire,7.622366289506242,-5.552654013828337,2022,1576.14,0,886.7,0,0,0,0.6399684916600348,0,0.3600315083399652,NA,NA,NA
PRK,Democratic People's Republic of Korea (the),40.146107297118014,127.17911924926696,2022,3360,0,4917.38,0,0,0,0.40592554648934803,0,0.5940744535106519,NA,NA,NA
COD,Democratic Republic of the Congo (the),-2.8767966076725267,23.660478378804484,2022,29,0,2741.5,0,0,0,0.010467424652589786,0,0.9895325753474102,NA,NA,NA
DNK,Denmark,56.03654380678278,9.316174376082706,2022,5385.31,0,12365.949999999999,0,0,0,0.30337621104079376,0,0.6966237889592063,NA,NA,NA
DJI,Djibouti,11.7346413101616,42.579653824088666,2022,123,0,20.36,0,0,0,0.8579799107142856,0,0.14202008928571427,NA,NA,NA
DMA,Dominica,15.432052889491922,-61.35906719529942,2022,18.88,0,7.199999999999999,0,0,0,0.7239263803680982,0,0.27607361963190186,NA,NA,NA
DOM,Dominican Republic (the),18.897302008444456,-70.49920387593913,2022,4106.64,0,1871.6299999999999,18571,0,4049.46,0.6869278236011421,0,0.3130721763988578,0.8209824203398163,0,0.17901757966018375
ECU,Ecuador,-1.4490758741265886,-78.3699201317316,2022,3431.61,0,5393.719999999999,7884.360000000001,0,25123.94,0.3888364514414759,0,0.6111635485585241,0.23885992311024803,0,0.7611400768897518
EGY,Egypt,26.350156875623803,29.51735357319312,2022,53359.799999999996,0,6321.5,0,0,0,0.8940790498866479,0,0.10592095011335209,NA,NA,NA
SLV,El Salvador,13.736331853178,-88.8700929649076,2022,1149.0900000000001,0,1686.31,0,0,0,0.40526557099527405,0,0.594734429004726,NA,NA,NA
GNQ,Equatorial Guinea,1.5677253995374745,10.46630572885936,2022,273.97,0,127.32000000000001,0,0,0,0.6827232176231653,0,0.3172767823768347,NA,NA,NA
ERI,Eritrea,15.3807338283403,38.823744085420635,2022,206,0,11.64,0,0,0,0.9465171843411139,0,0.05348281565888624,NA,NA,NA
EST,Estonia,58.68463317042098,25.83872041459677,2022,1432,0,1177.77,0,0,0,0.54870735735333,0,0.45129264264667,NA,NA,NA
SWZ,Eswatini,-26.565694818107907,31.497754022029714,2022,9.9,0,179.13,0,0,0,0.05237263926360895,0,0.947627360736391,NA,NA,NA
ETH,Ethiopia,8.632972555249719,39.632320162140594,2022,104,0,5588.77,0,0,0,0.018268786548551935,0,0.9817312134514481,NA,NA,NA
FLK,Falkland Islands (Malvinas),-51.74744,-59.79858,2022,13.6,0,3.3800000000000003,0,0,0,0.8009422850412249,0,0.19905771495877506,NA,NA,NA
FRO,Faroe Islands,NA,NA,2022,114.8,0,64.26,207.4,0,226.6,0.6411258795934324,0,0.35887412040656763,0.47788018433179724,0,0.5221198156682028
FJI,Fiji,-17.835950319385727,177.9721562980551,2022,171.68,0,219.41,0,0,0,0.43897824030274357,0,0.5610217596972563,NA,NA,NA
FIN,Finland,64.52054307388673,26.285359162423426,2022,5457,2794,12094.6,0,0,0,0.26821524064171126,0.13732698961937717,0.5944577697389116,NA,NA,NA
FRA,France,46.62609719762674,2.4585500160508,2022,17990.07,61400,67109.14,0,0,0,0.12279977482472432,0.41911488805980596,0.4580853371154698,NA,NA,NA
GUF,French Guiana,NA,NA,2022,197.5,0,179.17,281.35999999999996,0,694.05,0.5243316430828047,0,0.47566835691719545,0.28845306076419147,0,0.7115469392358086
PYF,French Polynesia,-17.67974,-149.40684,2022,216.38,0,93.56,281.27,0,191.99,0.6981351229270181,0,0.3018648770729819,0.5943244728056459,0,0.40567552719435407
GAB,Gabon,-0.606116745449924,11.789343461400634,2022,279.47,0,331.99,0,0,0,0.45705360939390965,0,0.5429463906060903,NA,NA,NA
GMB,Gambia (the),13.450932525034242,-15.3724481106893,2022,120,0,4.01,0,0,0,0.967663898072736,0,0.032336101927263924,NA,NA,NA
GEO,Georgia,42.18134812682212,43.505617223631354,2022,1001,0,3132.2,0,0,0,0.2421852317816704,0,0.7578147682183296,NA,NA,NA
DEU,Germany,51.09044628450559,10.38055913689519,2022,91252.5,8113,153774.5,0,0,0,0.3604823417871533,0.03204945879750336,0.6074681994153432,NA,NA,NA
GHA,Ghana,7.965023658605553,-1.2059422331704015,2022,3665,0,1702.2,0,0,0,0.6828513936503204,0,0.31714860634967956,NA,NA,NA
GRC,Greece,39.47111920016957,22.581478025835526,2022,9635.8,0,13968.06,0,0,0,0.40822984037356597,0,0.591770159626434,NA,NA,NA
GRL,Greenland,74.74430833107948,-41.52090159937835,2022,96.58,0,92.52,0,0,0,0.5107350608143839,0,0.4892649391856161,NA,NA,NA
GRD,Grenada,12.112069929980285,-61.687026896044685,2022,56,0,3.73,0,0,0,0.9375523187677884,0,0.06244768123221162,NA,NA,NA
