source,source_iso3,recipient,recipient_iso3,year,category,value_usd
Australia,AUS,France,FRA,2017,Power Plant,11622984
Australia,AUS,France,FRA,2018,Mining,3081953
Australia,AUS,France,FRA,2018,Power Plant,1699526
Australia,AUS,France,FRA,2018,Spent Fuel / HLW,2994224
Australia,AUS,France,FRA,2019,Fuel fabrication,5096
Australia,AUS,France,FRA,2019,Ignore,158
Australia,AUS,France,FRA,2019,Mining,15536554
Australia,AUS,France,FRA,2019,Power Plant,2112010
Australia,AUS,France,FRA,2020,Enrichment,2173938
Australia,AUS,France,FRA,2020,Mining,27838066
Australia,AUS,France,FRA,2021,Ignore,97
Australia,AUS,France,FRA,2021,Mining,90892799
Australia,AUS,France,FRA,2021,Power Plant,3799
Australia,AUS,Gabon,GAB,2021,Ignore,47465
Australia,AUS,Germany,DEU,2016,Enrichment,25100
Australia,AUS,Germany,DEU,2016,Fuel fabrication,580411
Australia,AUS,Germany,DEU,2016,Ignore,90914
Australia,AUS,Germany,DEU,2016,Power Plant,396309
Australia,AUS,Germany,DEU,2017,Fuel fabrication,1079796
Australia,AUS,Germany,DEU,2017,Ignore,51764
Australia,AUS,Germany,DEU,2017,Mining,943
Australia,AUS,Germany,DEU,2017,Power Plant,1407379
Australia,AUS,Germany,DEU,2018,Fuel fabrication,1114313
Australia,AUS,Germany,DEU,2018,Ignore,169559
Australia,AUS,Germany,DEU,2019,Fuel fabrication,413709
Australia,AUS,Germany,DEU,2019,Ignore,63099
Australia,AUS,Germany,DEU,2019,Power Plant,76924
Australia,AUS,Germany,DEU,2020,Enrichment,209517
Australia,AUS,Germany,DEU,2020,Fuel fabrication,99218
Australia,AUS,Germany,DEU,2020,Ignore,463186
Australia,AUS,Germany,DEU,2021,Fuel fabrication,467337
Australia,AUS,Germany,DEU,2021,Ignore,543098
Australia,AUS,Germany,DEU,2021,Power Plant,52788
Australia,AUS,Ghana,GHA,2016,Fuel fabrication,12474
Australia,AUS,Ghana,GHA,2016,Power Plant,251
Australia,AUS,Ghana,GHA,2018,Enrichment,119
Australia,AUS,Ghana,GHA,2018,Ignore,3462
Australia,AUS,Ghana,GHA,2018,Power Plant,3571
Australia,AUS,Ghana,GHA,2020,Ignore,85297
Australia,AUS,Greece,GRC,2019,Ignore,29105
Australia,AUS,Hong Kong,HKG,2016,Ignore,490377
Australia,AUS,Hong Kong,HKG,2017,Ignore,983421
Australia,AUS,Hong Kong,HKG,2018,Ignore,376420
Australia,AUS,Hong Kong,HKG,2019,Ignore,85312
Australia,AUS,Hong Kong,HKG,2019,Power Plant,30041
Australia,AUS,Hong Kong,HKG,2020,Enrichment,18631
Australia,AUS,Hong Kong,HKG,2020,Ignore,6195
Australia,AUS,Hungary,HUN,2017,Ignore,5522
Australia,AUS,Hungary,HUN,2018,Ignore,866
Australia,AUS,Hungary,HUN,2019,Ignore,200
