source,source_iso3,recipient,recipient_iso3,category,sum_value_usd
Australia,AUS,United Kingdom,GBR,Power Plant,20398676
Australia,AUS,United Rep. of Tanzania,TZA,Fuel fabrication,15594
Australia,AUS,Uruguay,URY,Ignore,136679
Australia,AUS,Vanuatu,VUT,Ignore,20284
Australia,AUS,Viet Nam,VNM,Enrichment,68379
Australia,AUS,Viet Nam,VNM,Fuel fabrication,254728
Australia,AUS,Viet Nam,VNM,Ignore,981603
Australia,AUS,Zambia,ZMB,Enrichment,282424
Australia,AUS,Zambia,ZMB,Ignore,132486
Australia,AUS,Zimbabwe,ZWE,Ignore,122270
Austria,AUT,Algeria,DZA,Ignore,3425
Austria,AUT,Angola,AGO,Ignore,1511
Austria,AUT,Argentina,ARG,Ignore,97427
Austria,AUT,Argentina,ARG,Power Plant,1816
Austria,AUT,Australia,AUS,Fuel fabrication,80267
Austria,AUT,Australia,AUS,Ignore,10112
Austria,AUT,Australia,AUS,Power Plant,27306
Austria,AUT,Azerbaijan,AZE,Fuel fabrication,161
Austria,AUT,Azerbaijan,AZE,Ignore,796
Austria,AUT,Bahrain,BHR,Fuel fabrication,1106
Austria,AUT,Bahrain,BHR,Ignore,5011
Austria,AUT,Belarus,BLR,Fuel fabrication,2500
Austria,AUT,Belarus,BLR,Ignore,1200
Austria,AUT,Belgium,BEL,Fuel fabrication,804942
Austria,AUT,Belgium,BEL,Ignore,316547
Austria,AUT,Belgium,BEL,Power Plant,38306
Austria,AUT,Bolivia,BOL,Fuel fabrication,442
Austria,AUT,Bolivia,BOL,Ignore,2271
Austria,AUT,Bosnia Herzegovina,BIH,Fuel fabrication,143827
Austria,AUT,Bosnia Herzegovina,BIH,Ignore,725904
Austria,AUT,Bosnia Herzegovina,BIH,Power Plant,12887
Austria,AUT,Brazil,BRA,Enrichment,144
Austria,AUT,Brazil,BRA,Fuel fabrication,4576
Austria,AUT,Brazil,BRA,Ignore,102711
Austria,AUT,Brazil,BRA,Power Plant,8014284
Austria,AUT,Bulgaria,BGR,Fuel fabrication,13520
Austria,AUT,Bulgaria,BGR,Ignore,4261401
Austria,AUT,Bulgaria,BGR,Power Plant,153193
Austria,AUT,Canada,CAN,Enrichment,794
Austria,AUT,Canada,CAN,Fuel fabrication,411980
Austria,AUT,Canada,CAN,Ignore,77060
Austria,AUT,Canada,CAN,Mining,1017
Austria,AUT,Canada,CAN,Power Plant,188934
Austria,AUT,Chile,CHL,Fuel fabrication,916
Austria,AUT,Chile,CHL,Ignore,8292
Austria,AUT,Chile,CHL,Power Plant,59
Austria,AUT,China,CHN,Enrichment,163
Austria,AUT,China,CHN,Fuel fabrication,12080
Austria,AUT,China,CHN,Ignore,2733490
Austria,AUT,China,CHN,Power Plant,1340928
Austria,AUT,Colombia,COL,Enrichment,82
Austria,AUT,Colombia,COL,Mining,84
Austria,AUT,Congo,COG,Ignore,3364
Austria,AUT,Costa Rica,CRI,Fuel fabrication,10110
Austria,AUT,Costa Rica,CRI,Ignore,2132
Austria,AUT,Costa Rica,CRI,Power Plant,117
Austria,AUT,Croatia,HRV,Enrichment,21046
Austria,AUT,Croatia,HRV,Fuel fabrication,745964
Austria,AUT,Croatia,HRV,Ignore,1765711
Austria,AUT,Croatia,HRV,Power Plant,7387
Austria,AUT,Cuba,CUB,Ignore,6143
Austria,AUT,Cyprus,CYP,Ignore,3145
Austria,AUT,Czech Rep.,CZE,Enrichment,2099
Austria,AUT,Czech Rep.,CZE,Fuel fabrication,1304969
Austria,AUT,Czech Rep.,CZE,Ignore,5694003
Austria,AUT,Czech Rep.,CZE,Power Plant,320
Austria,AUT,Dem. Rep. of the Congo,COD,Ignore,3187
Austria,AUT,Denmark,DNK,Ignore,49852
Austria,AUT,Ecuador,ECU,Fuel fabrication,734
Austria,AUT,Ecuador,ECU,Ignore,122
Austria,AUT,Egypt,EGY,Fuel fabrication,15426
Austria,AUT,Egypt,EGY,Ignore,4933
Austria,AUT,Egypt,EGY,Power Plant,21528
Austria,AUT,El Salvador,SLV,Ignore,824935
Austria,AUT,Estonia,EST,Fuel fabrication,6701
Austria,AUT,Estonia,EST,Ignore,26338
Austria,AUT,Ethiopia,ETH,Power Plant,1
Austria,AUT,Finland,FIN,Fuel fabrication,127778
Austria,AUT,Finland,FIN,Ignore,193325
Austria,AUT,Finland,FIN,Power Plant,2657
Austria,AUT,France,FRA,Enrichment,79
Austria,AUT,France,FRA,Fuel fabrication,2905794
Austria,AUT,France,FRA,Ignore,4282564
Austria,AUT,France,FRA,Mining,6452
Austria,AUT,France,FRA,Power Plant,3092382
Austria,AUT,French Polynesia,PYF,Ignore,530
Austria,AUT,Georgia,GEO,Ignore,2046
Austria,AUT,Germany,DEU,Enrichment,24590
Austria,AUT,Germany,DEU,Fuel fabrication,19918517
Austria,AUT,Germany,DEU,Ignore,28747817
Austria,AUT,Germany,DEU,Mining,203
Austria,AUT,Germany,DEU,Power Plant,212209
Austria,AUT,Germany,DEU,Spent Fuel / HLW,87
Austria,AUT,Ghana,GHA,Ignore,2998
Austria,AUT,Greece,GRC,Fuel fabrication,1370716
Austria,AUT,Greece,GRC,Ignore,24157
Austria,AUT,Greece,GRC,Power Plant,16570
Austria,AUT,Guatemala,GTM,Ignore,62
Austria,AUT,Guatemala,GTM,Power Plant,27466
Austria,AUT,Hong Kong,HKG,Ignore,745991
Austria,AUT,Hong Kong,HKG,Power Plant,1965
Austria,AUT,Hungary,HUN,Enrichment,3187
Austria,AUT,Hungary,HUN,Fuel fabrication,743207
Austria,AUT,Hungary,HUN,Ignore,5680293
Austria,AUT,Hungary,HUN,Power Plant,42884
Austria,AUT,Iceland,ISL,Enrichment,7816
Austria,AUT,Iceland,ISL,Fuel fabrication,54164
Austria,AUT,Iceland,ISL,Ignore,817
Austria,AUT,India,IND,Fuel fabrication,200266
Austria,AUT,India,IND,Ignore,8131159
Austria,AUT,India,IND,Power Plant,9551
Austria,AUT,Indonesia,IDN,Ignore,3035283
Austria,AUT,Indonesia,IDN,Power Plant,32875
Austria,AUT,Iran,IRN,Enrichment,156
Austria,AUT,Ireland,IRL,Power Plant,5501
Austria,AUT,Israel,ISR,Fuel fabrication,1123000
Austria,AUT,Israel,ISR,Ignore,3160924
Austria,AUT,Israel,ISR,Power Plant,12000
Austria,AUT,Italy,ITA,Enrichment,84347
Austria,AUT,Italy,ITA,Fuel fabrication,3372460
Austria,AUT,Italy,ITA,Ignore,24955135
Austria,AUT,Italy,ITA,Mining,316893
Austria,AUT,Italy,ITA,Power Plant,1138854
Austria,AUT,Italy,ITA,Spent Fuel / HLW,90
Austria,AUT,Japan,JPN,Enrichment,645
Austria,AUT,Japan,JPN,Fuel fabrication,13334
Austria,AUT,Japan,JPN,Ignore,59553230
Austria,AUT,Japan,JPN,Power Plant,25415
Austria,AUT,Jordan,JOR,Fuel fabrication,15969
Austria,AUT,Kazakhstan,KAZ,Ignore,729978
Austria,AUT,Kenya,KEN,Ignore,993
Austria,AUT,Kuwait,KWT,Fuel fabrication,928
Austria,AUT,Kuwait,KWT,Ignore,5211
Austria,AUT,Lao People's Dem. Rep.,LAO,Enrichment,1274
Austria,AUT,Lao People's Dem. Rep.,LAO,Ignore,6967
Austria,AUT,Latvia,LVA,Ignore,27762
Austria,AUT,Lebanon,LBN,Fuel fabrication,281644
Austria,AUT,Lebanon,LBN,Ignore,965
Austria,AUT,Lebanon,LBN,Power Plant,413
Austria,AUT,Lithuania,LTU,Fuel fabrication,201
Austria,AUT,Luxembourg,LUX,Enrichment,353
Austria,AUT,Luxembourg,LUX,Fuel fabrication,43514
Austria,AUT,Luxembourg,LUX,Ignore,3236
Austria,AUT,Luxembourg,LUX,Power Plant,1202
Austria,AUT,Madagascar,MDG,Ignore,3075
Austria,AUT,Malaysia,MYS,Ignore,183717
